Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY14-15,2014/10/11,8219,Parking Enforcement Admin,21,SFMTA,7155,"2,997","3,643",,37.4625,39.3375,41.3,43.375,45.5375,,,,,,,,,,,,,,,
FY13-14,2014/01/04,8116,Legislative Calendar Clerk,22,COMMN,6385,"2,058","2,502",0,25.725,27.0125,28.3625,29.7875,31.275,,,,,,,,,,,,,,,
FY13-14,2014/01/04,2933,Conservatorship/Case Mgt Sprv,790,SFMTA,7240,"3,126","3,799",,39.075,41.025,43.075,45.225,47.4875,,,,,,,,,,,,,,,
FY13-14,2013/07/01,1654,Accountant III,21,COMMN,7115,"2,940","3,574",0,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY15-16,2015/10/10,2583,Home Health Aide,250,SFMTA,5710,"1,484","1,800",,18.55,19.475,20.425,21.425,22.5,,,,,,,,,,,,,,,
FY14-15,2014/07/01,4213,ASR-Office Assistant,790,COMMN,4213C,"1,773","2,156",6,22.1625,23.275,24.4375,25.6625,26.95,28.7875,29.075,,,,,,,,,,,,,
FY15-16,2015/07/01,5174,Administrative Engineer,21,SFMTA,8025,"4,581","5,569",,57.2625,60.125,63.1375,66.2875,69.6125,,,,,,,,,,,,,,,
FY15-16,2015/10/10,1812,Assistant Retirement Analyst,790,SFMTA,6875,"2,614","3,178",,32.675,34.3125,36.025,37.8375,39.725,,,,,,,,,,,,,,,
FY13-14,2014/03/29,5381,StdntDsgn Train2/Arch/Eng/Plng,21,SFMTA,5381B (SFMTA),"2,092","2,092",,26.15,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,1773,Media Training Specialist,200,SFMTA,7130,"2,960","3,597",,37,38.85,40.7875,42.825,44.9625,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1374,Special Assistant 15,351,SFMTA,7895,"4,299","5,225",,53.7375,56.425,59.2375,62.2,65.3125,,,,,,,,,,,,,,,
FY15-16,2015/10/10,1636,Health Care Billing Clerk 2,790,SFMTA,6625,"2,314","2,813",,28.925,30.375,31.8875,33.4875,35.1625,,,,,,,,,,,,,,,
FY14-15,2014/10/11,2706,Housekeeper/Food Service Clnr,250,SFMTA,5820,"1,565","1,899",,19.5625,20.525,21.5375,22.6125,23.7375,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7309,Car and Auto Painter,130,SFMTA,7309Y (SFMTA),"2,952","2,952",,36.9,,,,,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2556,Physical Therapist,21,SFMTA,2556B (SFMTA),"2,953","4,155",,36.9125,38.7625,40.7,42.725,44.8625,47.1125,49.4625,51.9375,,,,,,,,,,,,
FY13-14,2013/07/01,9702,Employment & Training Spec 1,535,COMMN,6400,"2,074","2,521",0,25.925,27.225,28.5875,30.0125,31.5125,,,,,,,,,,,,,,,
FY13-14,2014/03/29,9914,Public Service Aide-Admin,790,COMMN,9914B,"1,398","1,398",0,17.475,,,,,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7342,Locksmith,236,COMMN,6900,"2,647","3,217",0,33.0875,34.7375,36.475,38.3,40.2125,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2718,Custodial Supervisor,790,COMMN,6420,"2,094","2,545",0,26.175,27.4875,28.8625,30.3,31.8125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,5322,Graphic Artist,790,SFMTA,6340,"2,014","2,449",,25.175,26.4375,27.7625,29.15,30.6125,,,,,,,,,,,,,,,
FY13-14,2014/01/04,1460,Legal Secretary 2,790,SFMTA,6840,"2,571","3,126",,32.1375,33.75,35.4375,37.2125,39.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,5504,Project Manager 2,21,SFMTA,5504G,"5,550","5,550",2,69.375,71.125,72.875,74.6875,,,,,,,,,,,,,,,,
FY13-14,2014/01/04,7287,Sprv Electronic Main Tech,6,COMMN,7630,"3,777","4,591",0,47.2125,49.575,52.05,54.65,57.3875,,,,,,,,,,,,,,,
FY13-14,2013/07/01,5268,Architect,21,COMMN,7775,"4,056","4,929",0,50.7,53.225,55.8875,58.6875,61.6125,,,,,,,,,,,,,,,
FY14-15,2014/10/11,6321,Permit Technician I,790,COMMN,6070,"1,765","2,145",,22.0625,23.1625,24.325,25.5375,26.8125,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1322,Customer Service Agent Trainee,790,COMMN,6570,"2,252","2,737",,28.15,29.5625,31.0375,32.5875,34.2125,,,,,,,,,,,,,,,
FY13-14,2014/01/04,7257,Communication Line Sprv1,6,SFMTA,7270,"3,169","3,851",,39.6125,41.5875,43.6625,45.85,48.1375,,,,,,,,,,,,,,,
FY13-14,2013/07/01,8108,Senior Legal Process Clerk,790,COMMN,6235,"1,914","2,326",0,23.925,25.1125,26.375,27.6875,29.075,,,,,,,,,,,,,,,
FY14-15,2014/10/11,3410,Apprentice Gardener,261,COMMN,3410D,"1,390","2,022",,17.375,18.95,20.5375,22.1125,23.6875,25.275,,,,,,,,,,,,,,
FY13-14,2013/07/01,2107,Med Staff Svcs Dept Anl,21,COMMN,6900,"2,647","3,217",0,33.0875,34.7375,36.475,38.3,40.2125,,,,,,,,,,,,,,,
FY13-14,2014/01/04,2575,Research Psychologist,790,SFMTA,7480,"3,513","4,270",,43.9125,46.1125,48.4125,50.8375,53.375,,,,,,,,,,,,,,,
FY13-14,2014/01/04,2803,Epidemiologist 2,21,COMMN,7235,"3,117","3,788",0,38.9625,40.9125,42.95,45.1,47.35,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7319,Electric Motor Repairer,6,COMMN,6850,"2,582","3,138",0,32.275,33.8875,35.5875,37.3625,39.225,,,,,,,,,,,,,,,
FY13-14,2013/07/01,1931,Senior Parts Storekeeper,790,SFMTA,6470,"2,145","2,607",,26.8125,28.15,29.5625,31.0375,32.5875,,,,,,,,,,,,,,,
FY13-14,2013/07/01,5291,Planner 3,21,SFMTA,7275,"3,179","3,862",,39.7375,41.7125,43.7875,45.9875,48.275,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7212,Automotive Trnst Equip Sprv,351,SFMTA,8055,"4,650","5,652",0,58.125,61.025,64.075,67.2875,70.65,,,,,,,,,,,,,,,
FY13-14,2014/01/04,1324,Customer Service Agent,790,COMMN,6550,"2,230","2,711",0,27.875,29.275,30.7375,32.275,33.8875,,,,,,,,,,,,,,,
FY13-14,2014/01/04,9922,PS Aide to Prof,790,SFMTA,9922A (SFMTA),"1,519","1,519",,18.9875,,,,,,,,,,,,,,,,,,,
FY14-15,2014/07/01,5211,Eng/Arch/Landscape Arch Sr,21,SFMTA,8115,"4,789","5,822",,59.8625,62.8625,66,69.3,72.775,,,,,,,,,,,,,,,
FY13-14,2013/07/01,1929,Parts Storekeeper,790,COMMN,6300,"1,975","2,401",0,24.6875,25.925,27.225,28.5875,30.0125,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1663,Patient Accounts Supervisor,790,SFMTA,6980,"2,752","3,346",,34.4,36.125,37.9375,39.8375,41.825,,,,,,,,,,,,,,,
FY14-15,2014/10/11,2558,Senior Physical Therapist,21,COMMN,2558D,"3,436","4,835",,42.95,45.1,47.35,49.725,52.2,54.8125,57.55,60.4375,,,,,,,,,,,,
FY13-14,2014/01/04,8306,Senior Deputy Sheriff,498,COMMN,8306A,"3,106","3,965",0,38.825,40.7875,42.8125,44.975,47.1875,49.5625,,,,,,,,,,,,,,
FY14-15,2014/10/11,1705,Communications Dispatcher 2,790,SFMTA,6410,"2,084","2,533",,26.05,27.35,28.7125,30.15,31.6625,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7319,Electric Motor Repairer,6,SFMTA,6850,"2,582","3,138",,32.275,33.8875,35.5875,37.3625,39.225,,,,,,,,,,,,,,,
FY13-14,2014/01/04,8324,"Sprv Counselor, Juvenile Court",856,COMMN,7015,"2,800","3,403",0,35,36.75,38.5875,40.5125,42.5375,,,,,,,,,,,,,,,
FY14-15,2014/07/01,8251,Fingerprint Technician 3,790,COMMN,6530,"2,209","2,685",,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY12-13,2012/07/01,1458,Legal Secretary 1,790,SFMTA,6650,"2,342","2,847",,29.275,30.7375,32.275,33.8875,35.5875,,,,,,,,,,,,,,,
FY14-15,2014/10/11,8133,Victim/Witness Investigator 3,790,SFMTA,7130,"2,960","3,597",,37,38.85,40.7875,42.825,44.9625,,,,,,,,,,,,,,,
FY14-15,2014/10/11,3419,Municipal Stadium Groundskpr,261,COMMN,6705,"2,407","2,926",,30.0875,31.5875,33.175,34.825,36.575,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7305,Metal Fabricator,130,SFMTA,6650,"2,342","2,847",0,29.275,30.7375,32.275,33.8875,35.5875,,,,,,,,,,,,,,,
FY13-14,2014/01/04,2558,Senior Physical Therapist,21,COMMN,2558A,"3,304","4,650",0,41.3,43.375,45.5375,47.825,50.2125,52.725,55.35,58.125,,,,,,,,,,,,
FY15-16,2015/10/10,8108,Senior Legal Process Clerk,790,SFMTA,6420,"2,094","2,545",,26.175,27.4875,28.8625,30.3,31.8125,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7444,Parking Meter Repairer,856,COMMN,6560,"2,242","2,726",0,28.025,29.425,30.9,32.45,34.075,,,,,,,,,,,,,,,
FY13-14,2014/01/04,3419,Municipal Stadium Groundskpr,261,COMMN,6625,"2,314","2,813",0,28.925,30.375,31.8875,33.4875,35.1625,,,,,,,,,,,,,,,
FY14-15,2014/07/01,7412,Auto Svc Wrk Asst Sprv,200,SFMTA-Negotiated,6530,"2,209","2,685",,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY14-15,2014/10/11,3289,Recreation Supervisor,790,COMMN,6960,"2,726","3,313",,34.075,35.775,37.5625,39.4375,41.4125,,,,,,,,,,,,,,,
FY15-16,2015/10/10,8146,District Attry's Investigator,419,SFMTA,8146H,"3,387","4,323",,42.3375,44.4625,46.675,49.0125,51.4625,54.0375,,,,,,,,,,,,,,
FY13-14,2013/07/01,2978,Contract Compliance Officer 2,21,SFMTA,7690,"3,888","4,725",,48.6,51.025,53.575,56.25,59.0625,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2481,Water QualityTech I/II,21,COMMN,2481B,"2,183","3,072",0,27.2875,28.65,30.0875,31.5875,33.175,34.825,36.575,38.4,,,,,,,,,,,,
FY12-13,2012/07/01,7377,Stage Electrician,16,SFMTA,6980,"2,752","3,346",,34.4,36.125,37.9375,39.8375,41.825,,,,,,,,,,,,,,,
FY14-15,2014/10/11,7226,Carpenter Supervisor 1,236,SFMTA,7390,"3,359","4,082",,41.9875,44.0875,46.2875,48.6,51.025,,,,,,,,,,,,,,,
FY14-15,2014/10/11,8540,"Sr Sprv Prob Ofc,Juv Prb SFERS",351,COMMN,7665,"3,844","4,672",,48.05,50.45,52.975,55.6125,58.4,,,,,,,,,,,,,,,
FY13-14,2013/07/01,1051,IS Business Analyst-Assistant,21,COMMN,1051Y,"2,421","3,045",0,30.2625,31.0375,31.775,32.875,33.7125,34.5375,35.4,36.25,37.1625,38.0625,,,,,,,,,,
FY13-14,2014/03/29,2303,Patient Care Assistant,250,COMMN,2303B,"1,706","2,074",6,21.325,22.3875,23.5125,24.6875,25.925,26.8125,28.15,29.5625,31.0375,32.5875,,,,,,,,,,
FY13-14,2014/03/29,8204,Institutional Police Officer,790,COMMN,6565,"2,247","2,732",0,28.0875,29.5,30.975,32.525,34.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7239,Plumber Supervisor 2,38,SFMTA,7710,"3,931","4,779",,49.1375,51.6,54.175,56.8875,59.7375,,,,,,,,,,,,,,,
FY14-15,2014/07/01,9160,Transit Operations Specialist,200,SFMTA-Negotiated,7495,"3,537","4,299",,44.2125,46.425,48.7375,51.175,53.7375,,,,,,,,,,,,,,,
FY13-14,2014/01/04,5203,Asst Engr,21,SFMTA,7185,"3,041","3,696",,38.0125,39.9125,41.9125,44,46.2,,,,,,,,,,,,,,,
FY14-15,2014/07/01,7276,Electrician Supervisor 2,6,SFMTA-Negotiated,7610,"3,744","4,551",,46.8,49.1375,51.6,54.175,56.8875,,,,,,,,,,,,,,,
FY13-14,2013/07/01,2846,Nutritionist,21,SFMTA,7025,"2,813","3,418",,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1372,Special Assistant 13,351,SFMTA,7595,"3,714","4,514",,46.425,48.7375,51.175,53.7375,56.425,,,,,,,,,,,,,,,
FY13-14,2014/03/29,1649,Accountant Intern,21,SFMTA,1649B (SFMTA),"2,156","2,263",,26.95,28.2875,,,,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7450,Shade and Drapery Worker,790,SFMTA,6140,"1,827","2,221",,22.8375,23.975,25.175,26.4375,27.7625,,,,,,,,,,,,,,,
FY13-14,2014/01/04,1062,IS Programmer Analyst,21,COMMN,1062A,"2,445","3,075",0,30.5625,31.35,32.0875,33.2,34.05,34.8875,35.75,36.6125,37.5375,38.4375,,,,,,,,,,
FY13-14,2013/07/01,1474,Claims Process Clerk,790,COMMN,6215,"1,895","2,303",0,23.6875,24.875,26.1125,27.425,28.7875,,,,,,,,,,,,,,,
FY14-15,2014/10/11,7248,Steamfitter Supervisor 2,38,COMMN,7710,"3,931","4,779",,49.1375,51.6,54.175,56.8875,59.7375,,,,,,,,,,,,,,,
FY12-13,2012/07/01,1051,IS Business Analyst-Assistant,21,SFMTA,1051W,"2,397","3,015",,29.9625,30.725,31.4625,32.55,33.375,34.2,35.05,35.8875,36.8,37.6875,,,,,,,,,,
FY13-14,2013/07/01,1764,Mail & Reproduction Svc Sprv,790,SFMTA,6685,"2,383","2,896",,29.7875,31.275,32.8375,34.475,36.2,,,,,,,,,,,,,,,
FY13-14,2013/07/01,8250,Fingerprint Technician 2,790,COMMN,6320,"1,994","2,424",0,24.925,26.175,27.4875,28.8625,30.3,,,,,,,,,,,,,,,
FY13-14,2013/07/01,9185,"Chf Opr Ofc, Publ Transp Dept",351,SFMTA,9185Y (SFMTA),"6,976","8,908",0,87.2,91.55,96.175,101,106.0625,111.35,,,,,,,,,,,,,,
FY15-16,2015/10/10,7219,Maintenance Scheduler,790,SFMTA,6755,"2,466","2,997",,30.825,32.3625,33.9875,35.6875,37.4625,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1312,Public Information Officer,21,COMMN,6815,"2,539","3,087",,31.7375,33.325,35,36.75,38.5875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,6120,Environmental Health Inspector,251,COMMN,7350,"3,295","4,006",,41.1875,43.25,45.4125,47.6875,50.075,,,,,,,,,,,,,,,
FY14-15,2014/10/11,3464,"Area Sprv Parks, Squares & Fac",351,SFMTA,7135,"2,969","3,608",,37.1125,38.9625,40.9125,42.95,45.1,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7337,Main Machinist Asst Sprv,130,COMMN,7130,"2,960","3,597",0,37,38.85,40.7875,42.825,44.9625,,,,,,,,,,,,,,,
FY13-14,2014/03/29,3422,Park Section Supervisor,261,COMMN,6745,"2,454","2,983",0,30.675,32.2125,33.825,35.5125,37.2875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,8214,Parking Control Officer,790,SFMTA-Negotiated,8214C,"1,840","2,303",,23,23.3375,24.5,25.725,27.0125,28.3625,28.7875,,,,,,,,,,,,,
FY14-15,2014/07/01,2575,Research Psychologist,790,COMMN,7500,"3,547","4,311",,44.3375,46.55,48.875,51.325,53.8875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,1929,Parts Storekeeper,790,SFMTA,6360,"2,033","2,472",,25.4125,26.6875,28.025,29.425,30.9,,,,,,,,,,,,,,,
FY15-16,2015/10/10,1652,Accountant II,21,SFMTA,6890,"2,632","3,199",,32.9,34.55,36.275,38.0875,39.9875,,,,,,,,,,,,,,,
FY13-14,2014/01/04,7463,Utility Plumber Apprentice,38,SFMTA,7463A (SFMTA),"1,852","3,518",,23.15,25.4625,27.775,30.0875,32.4,34.7125,37.025,39.35,41.6625,43.975,27.775,28.925,30.0875,31.25,32.4,33.5625,34.7125,35.875,37.025,38.1875
FY15-16,2015/07/01,5314,Survey Associate,21,SFMTA,7205,"3,072","3,734",,38.4,40.325,42.3375,44.4625,46.675,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7382,Automotive Mechanic Asst Sprv,130,SFMTA,7382Y (SFMTA),"3,557","3,557",,44.4625,,,,,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1092,IT Operations Support Admin II,21,SFMTA,6585,"2,269","2,758",,28.3625,29.7875,31.275,32.8375,34.475,,,,,,,,,,,,,,,
FY12-13,2012/07/01,7332,Maintenance Machinist,130,SFMTA,6790,"2,507","3,047",,31.3375,32.9,34.55,36.275,38.0875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,5508,Project Manager 4,21,COMMN,5508C,"7,295","7,295",2,91.1875,93.45,95.8,98.2,,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7311,Cement Mason,580,COMMN,6610,"2,297","2,793",0,28.7125,30.15,31.6625,33.25,34.9125,,,,,,,,,,,,,,,
FY14-15,2014/10/11,9240,Airport Electrician,6,COMMN,7400,"3,378","4,106",,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY14-15,2014/10/11,2434,Sr Electrocardiograph Tech,250,COMMN,6795,"2,514","3,056",,31.425,33,34.65,36.375,38.2,,,,,,,,,,,,,,,
FY14-15,2014/07/01,9209,Community Police Services Aide,790,COMMN,6400,"2,074","2,521",,25.925,27.225,28.5875,30.0125,31.5125,,,,,,,,,,,,,,,
FY14-15,2014/07/01,3370,Animal Care Attendant,856,COMMN,3370C,"1,706","2,178",,21.325,22.3875,23.5125,24.6875,25.925,27.225,,,,,,,,,,,,,,
FY12-13,2012/07/01,1004,IS Operator-Analyst,21,SFMTA,6605,"2,292","2,786",,28.65,30.0875,31.5875,33.175,34.825,,,,,,,,,,,,,,,
FY13-14,2013/07/01,7232,HH Mechanical Shop Sprv,130,SFMTA,7232Y (SFMTA),"3,363","3,363",,42.0375,,,,,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2846,Nutritionist,21,SFMTA,7065,"2,868","3,486",,35.85,37.65,39.525,41.5,43.575,,,,,,,,,,,,,,,
FY15-16,2015/10/10,6122,Sr Environmental Hlth Insp,251,SFMTA,7615,"3,752","4,561",,46.9,49.25,51.7125,54.2875,57.0125,,,,,,,,,,,,,,,
FY13-14,2014/03/29,5276,City Planning Intern,21,COMMN,6175,"1,858","2,258",0,23.225,24.3875,25.6,26.8875,28.225,,,,,,,,,,,,,,,
FY14-15,2014/07/01,AB44,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",2,SFMTA,8885,"6,968","8,470",,87.1,91.4625,96.025,100.8375,105.875,,,,,,,,,,,,,,,
FY13-14,2013/07/01,2306,Senior Psychiatric Orderly,250,COMMN,6650,"2,342","2,847",0,29.275,30.7375,32.275,33.8875,35.5875,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2430,Medical Evaluations Assistant,250,COMMN,6240,"1,918","2,332",0,23.975,25.175,26.4375,27.7625,29.15,,,,,,,,,,,,,,,
FY14-15,2014/07/01,3417,Gardener,261,SFMTA,6345,"2,019","2,454",,25.2375,26.5,27.825,29.2125,30.675,,,,,,,,,,,,,,,
FY14-15,2014/07/01,1652,Accountant II,21,COMMN,6765,"2,478","3,012",,30.975,32.525,34.15,35.85,37.65,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1752,Sr. Microphoto/Imaging Tech.,790,SFMTA,6310,"1,985","2,412",,24.8125,26.05,27.35,28.7125,30.15,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7349,Steamfitter Supervisor I,38,SFMTA,7450,"3,460","4,206",,43.25,45.4125,47.6875,50.075,52.575,,,,,,,,,,,,,,,
FY14-15,2014/10/11,7324,Beautician,250,COMMN,6410,"2,084","2,533",,26.05,27.35,28.7125,30.15,31.6625,,,,,,,,,,,,,,,
FY13-14,2013/07/01,9102,Transit Car Cleaner,790,SFMTA,6180,"1,862","2,264",0,23.275,24.4375,25.6625,26.95,28.3,,,,,,,,,,,,,,,
FY14-15,2014/07/01,5174,Administrative Engineer,21,COMMN,7965,"4,449","5,408",,55.6125,58.4,61.3125,64.3875,67.6,,,,,,,,,,,,,,,
FY12-13,2012/07/01,7449,Sewer Service Worker,38,SFMTA,7030,"2,819","3,426",,35.2375,37,38.85,40.7875,42.825,,,,,,,,,,,,,,,
FY14-15,2014/10/11,7334,Stationary Engineer,39,COMMN,7334D,"3,249","3,249",,40.6125,,,,,,,,,,,,,,,,,,,
FY12-13,2012/07/01,8234,Fire Alarm Dispatcher,790,SFMTA,6650,"2,342","2,847",,29.275,30.7375,32.275,33.8875,35.5875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,H033,"Captain, Emergency Med Svcs",798,Suppression,H33C0,"4,702","4,702",,58.7782,,,,,,,,,,,,,,,,,,,
FY13-14,2014/01/04,9344,Roofer Supervisor 1,40,COMMN,7030,"2,819","3,426",0,35.2375,37,38.85,40.7875,42.825,,,,,,,,,,,,,,,
FY14-15,2014/07/01,1760,Offset Machine Operator,790,COMMN,6235,"1,914","2,326",,23.925,25.1125,26.375,27.6875,29.075,,,,,,,,,,,,,,,
FY12-13,2012/07/01,8149,Asst Chf Dist Atty's Invstgtor,419,SFMTA,8149W,"3,513","4,484",,43.9125,46.1125,48.4125,50.8375,53.375,56.05,,,,,,,,,,,,,,
FY13-14,2014/01/04,7238,Electrician Supervisor 1,6,SFMTA,7370,"3,327","4,044",,41.5875,43.6625,45.85,48.1375,50.55,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1428,Unit Clerk,250,COMMN,6390,"2,063","2,507",,25.7875,27.075,28.425,29.85,31.3375,,,,,,,,,,,,,,,
FY14-15,2014/10/11,1376,Special Assistant 17,351,SFMTA,8195,"4,976","6,049",,62.2,65.3125,68.5875,72.0125,75.6125,,,,,,,,,,,,,,,
FY14-15,2014/07/01,1942,Asst Materials Coordinator,1,SFMTA,7185,"3,041","3,696",,38.0125,39.9125,41.9125,44,46.2,,,,,,,,,,,,,,,
FY13-14,2014/03/29,1209,Benefits Technician,790,SFMTA,6270,"1,946","2,365",,24.325,25.5375,26.8125,28.15,29.5625,,,,,,,,,,,,,,,
FY15-16,2015/10/10,2720,Janitorial Services Supervisor,790,SFMTA,6745,"2,454","2,983",,30.675,32.2125,33.825,35.5125,37.2875,,,,,,,,,,,,,,,
FY14-15,2014/10/11,9142,Transit Manager 3,351,SFMTA,7820,"4,145","5,039",,51.8125,54.4,57.125,59.9875,62.9875,,,,,,,,,,,,,,,
FY14-15,2014/10/11,5381,StdntDsgn Train2/Arch/Eng/Plng,21,SFMTA,5381D,"2,155","2,155",,26.9375,,,,,,,,,,,,,,,,,,,
FY13-14,2013/07/01,2450,Pharmacist,790,COMMN,2450Y,"4,258","5,435",0,53.225,55.8875,58.6875,61.6125,64.7,67.9375,,,,,,,,,,,,,,
FY13-14,2014/01/04,7361,Plasterer,66,SFMTA,7090,"2,902","3,527",,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,1408,Principal Clerk,790,COMMN,6580,"2,264","2,752",,28.3,29.7125,31.2,32.7625,34.4,,,,,,,,,,,,,,,
FY12-13,2012/07/01,8142,Public Defender's Investigator,790,SFMTA,6995,"2,772","3,369",,34.65,36.375,38.2,40.1,42.1125,,,,,,,,,,,,,,,
FY14-15,2014/07/01,7303,Barber,250,COMMN,6350,"2,023","2,459",,25.2875,26.55,27.875,29.275,30.7375,,,,,,,,,,,,,,,
FY14-15,2014/10/11,5275,Planner Technician,21,COMMN,6340,"2,014","2,449",,25.175,26.4375,27.7625,29.15,30.6125,,,,,,,,,,,,,,,
FY13-14,2014/03/29,5201,Junior Engineer,21,COMMN,6955,"2,719","3,304",0,33.9875,35.6875,37.4625,39.3375,41.3,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2802,Epidemiologist 1,21,COMMN,6755,"2,466","2,997",0,30.825,32.3625,33.9875,35.6875,37.4625,,,,,,,,,,,,,,,
FY14-15,2014/07/01,7328,"Operating Engineer, Universal",3,COMMN,7075,"2,882","3,503",,36.025,37.8375,39.725,41.7125,43.7875,,,,,,,,,,,,,,,
FY13-14,2013/07/01,2551,Mental Hlth Treatment Spec,21,COMMN,7070,"2,874","3,493",0,35.925,37.725,39.6125,41.5875,43.6625,,,,,,,,,,,,,,,
FY15-16,2015/10/10,1379,Special Assistant 20,351,SFMTA,8670,"6,273","7,625",,78.4125,82.3375,86.45,90.775,95.3125,,,,,,,,,,,,,,,
FY13-14,2014/03/29,6124,Pr Environmental Hlth Insp,251,SFMTA,7640,"3,799","4,617",,47.4875,49.8625,52.35,54.9625,57.7125,,,,,,,,,,,,,,,
FY13-14,2013/07/01,P103,Special Nurse,791,COMMN,P103Y,"5,019","6,594",0,62.7375,64.7375,66.7375,68.6375,70.7875,72.975,75.225,77.5625,79.9875,82.425,,,,,,,,,,
FY15-16,2015/07/01,1249,Personnel Trainee,22,SFMTA,1249G,"2,259","2,372",,28.2375,29.65,,,,,,,,,,,,,,,,,,
FY12-13,2012/07/01,3633,Librarian 2 - Asian Arts,790,SFMTA,7000,"2,779","3,378",,34.7375,36.475,38.3,40.2125,42.225,,,,,,,,,,,,,,,
FY14-15,2014/07/01,2992,Contract Compliance Officer 1,21,SFMTA,7175,"3,027","3,679",,37.8375,39.725,41.7125,43.7875,45.9875,,,,,,,,,,,,,,,
FY14-15,2014/07/01,6130,Safety Analyst,21,SFMTA,7545,"3,626","4,407",,45.325,47.5875,49.975,52.4625,55.0875,,,,,,,,,,,,,,,
FY12-13,2012/07/01,6317,Assistant Const Inspector,21,SFMTA,6765,"2,478","3,012",,30.975,32.525,34.15,35.85,37.65,,,,,,,,,,,,,,,
FY13-14,2013/07/01,2457,Asst Forensic Toxicologist 2,21,COMMN,7855,"4,218","5,126",0,52.725,55.35,58.125,61.025,64.075,,,,,,,,,,,,,,,
FY12-13,2012/07/01,7132,Telecommunication Supervisor,21,SFMTA,7625,"3,769","4,581",,47.1125,49.4625,51.9375,54.525,57.2625,,,,,,,,,,,,,,,
FY13-14,2014/03/29,7284,Utility Plumber Supervisor 2,38,SFMTA,7650,"3,815","4,637",,47.6875,50.075,52.575,55.2,57.9625,,,,,,,,,,,,,,,
FY13-14,2013/07/01,1042,IS Engineer-Journey,21,SFMTA,1042Y (SFMTA),"3,473","4,369",,43.4125,44.5,45.5875,47.175,48.3875,49.55,50.7625,52,53.325,54.6125,,,,,,,,,,
FY13-14,2013/07/01,Q003,Police Officer 2,911,COMMN,Q3Y00,"3,223","4,484",0,40.2875,42.3,44.4125,48.45,50.8625,53.3375,56.05,,,,,,,,,,,,,
FY14-15,2014/07/01,1812,Assistant Retirement Analyst,790,SFMTA,6750,"2,459","2,989",,30.7375,32.275,33.8875,35.5875,37.3625,,,,,,,,,,,,,,,
FY13-14,2014/03/29,8226,Museum Guard,790,COMMN,6250,"1,927","2,342",0,24.0875,25.2875,26.55,27.875,29.275,,,,,,,,,,,,,,,
FY13-14,2014/03/29,2588,Health Worker 4,790,SFMTA,6700,"2,401","2,918",,30.0125,31.5125,33.0875,34.7375,36.475,,,,,,,,,,,,,,,
